start	end	width	strand	seqnames	label	type	annotation
1159	1450	292	+	igh_xma_new	IGHV01-01	VH	
2243	2260	18	+	igh_xma_new	IGHDZ01	DH	old
2653	2700	48	+	igh_xma_new	IGHJZ01	JH	old
3380	3667	288	+	igh_xma_new	IGHZ1-1	CH	
3814	4098	285	+	igh_xma_new	IGHZ1-2	CH	
4195	4497	303	+	igh_xma_new	IGHZ1-3	CH	
4934	5263	330	+	igh_xma_new	IGHZ1-4	CH	
5264	5286	23	+	igh_xma_new	IGHZ1-S	CH	
6345	6490	146	+	igh_xma_new	IGHZ1-TM1	CH	
6645	7043	399	+	igh_xma_new	IGHZ1-TM2	CH	
10534	10825	292	+	igh_xma_new	IGHV02-01	VH	
11961	12261	301	+	igh_xma_new	IGHV02-02	VH	
13319	13616	298	+	igh_xma_new	IGHV02-03	VH	
15440	15734	295	+	igh_xma_new	IGHV03-01	VH	
16618	16908	291	+	igh_xma_new	IGHV02-04	VH	
17522	17822	301	+	igh_xma_new	IGHV02-05	VH	
18881	19178	298	+	igh_xma_new	IGHV02-06	VH	
21000	21294	295	+	igh_xma_new	IGHV03-02	VH	
22179	22467	289	+	igh_xma_new	IGHV02-07	VH	
24234	24514	281	+	igh_xma_new	IGHV02-08p	VH	frameshift
25359	25659	301	+	igh_xma_new	IGHV04-01	VH	
27066	27366	301	+	igh_xma_new	IGHV04-02	VH	
28669	28958	290	+	igh_xma_new	IGHV02-09	VH	
30460	30741	282	+	igh_xma_new	IGHV02-10p	VH	frameshift
32395	32681	287	+	igh_xma_new	IGHV02-11	VH	
33663	33957	295	+	igh_xma_new	IGHV03-03	VH	
35012	35299	288	+	igh_xma_new	IGHV02-12	VH	
36281	36575	295	+	igh_xma_new	IGHV03-04	VH	
37639	37931	293	+	igh_xma_new	IGHV02-13	VH	
39019	39311	293	+	igh_xma_new	IGHV02-14	VH	
41008	41302	295	+	igh_xma_new	IGHV03-05	VH	
42660	42952	293	+	igh_xma_new	IGHV02-15	VH	
45081	45375	295	+	igh_xma_new	IGHV03-06	VH	
46732	47024	293	+	igh_xma_new	IGHV02-16	VH	
48618	48912	295	+	igh_xma_new	IGHV03-07	VH	
50323	50611	289	+	igh_xma_new	IGHV02-17	VH	
51890	52184	295	+	igh_xma_new	IGHV03-08	VH	
53026	53274	249	+	igh_xma_new	IGHV03-09p	VH	truncated_3prime_no_rss
54462	54747	286	+	igh_xma_new	IGHV02-18	VH	
55729	55866	138	+	igh_xma_new	IGHV02-19p	VH	truncated_3prime
57371	57662	292	+	igh_xma_new	IGHV03-10	VH	
58698	58986	289	+	igh_xma_new	IGHV02-20p	VH	nonsense
59940	60234	295	+	igh_xma_new	IGHV03-11	VH	
61249	61537	289	+	igh_xma_new	IGHV02-21	VH	
62491	62785	295	+	igh_xma_new	IGHV03-12	VH	
63801	64089	289	+	igh_xma_new	IGHV02-22	VH	
65043	65337	295	+	igh_xma_new	IGHV03-13	VH	
66354	66640	287	+	igh_xma_new	IGHV02-23	VH	
68452	68743	292	+	igh_xma_new	IGHV03-14	VH	
70101	70389	289	+	igh_xma_new	IGHV02-24	VH	
72206	72501	296	+	igh_xma_new	IGHV03-15	VH	
73484	73772	289	+	igh_xma_new	IGHV02-25	VH	
75799	76090	292	+	igh_xma_new	IGHV03-16	VH	
77773	78067	295	+	igh_xma_new	IGHV03-17	VH	
79001	79289	289	+	igh_xma_new	IGHV02-26	VH	
80492	80784	293	+	igh_xma_new	IGHV03-18	VH	
81799	82082	284	+	igh_xma_new	IGHV02-27p	VH	frameshift
83736	84030	295	+	igh_xma_new	IGHV03-19	VH	
85093	85381	289	+	igh_xma_new	IGHV02-28p	VH	nonsense
86225	86505	281	+	igh_xma_new	IGHV02-29	VH	
87419	87713	295	+	igh_xma_new	IGHV03-20	VH	
94532	94826	295	+	igh_xma_new	IGHV03-21	VH	
96192	96489	298	+	igh_xma_new	IGHV03-22	VH	
98068	98368	301	+	igh_xma_new	IGHV03-23	VH	
99482	99779	298	+	igh_xma_new	IGHV03-24	VH	
101639	101936	298	+	igh_xma_new	IGHV03-25	VH	
102818	103096	279	+	igh_xma_new	IGHV05-01p	VH	frameshift
104098	104389	292	+	igh_xma_new	IGHV03-26	VH	
105551	105831	281	+	igh_xma_new	IGHV06-01	VH	
107274	107571	298	+	igh_xma_new	IGHV03-27	VH	
108775	109072	298	+	igh_xma_new	IGHV03-28	VH	
110372	110672	301	+	igh_xma_new	IGHV03-29	VH	
111565	111856	292	+	igh_xma_new	IGHV07-01	VH	
113033	113330	298	+	igh_xma_new	IGHV08-01p	VH	nonsense
115512	115800	289	+	igh_xma_new	IGHV09-01	VH	
117078	117379	302	+	igh_xma_new	IGHV10-01	VH	
119462	119760	299	+	igh_xma_new	IGHV11-01	VH	
119768	119770	3	+	igh_xma_new	IGHDZ02	DH	new
120639	120689	51	+	igh_xma_new	IGHJZ02	JH	new
126125	126416	292	+	igh_xma_new	IGHV03-30	VH	
127109	127400	292	+	igh_xma_new	IGHV03-31	VH	
128489	128786	298	+	igh_xma_new	IGHV12-01	VH	
128794	128801	8	+	igh_xma_new	IGHDZ03	DH	new
129907	129912	6	+	igh_xma_new	IGHDM01	DH	old
130376	130426	51	+	igh_xma_new	IGHJM01	JH	old
135711	136000	290	+	igh_xma_new	IGHV02-30	VH	
136757	137057	301	+	igh_xma_new	IGHV13-01	VH	
138344	138637	294	+	igh_xma_new	IGHV02-31	VH	
140024	140315	292	+	igh_xma_new	IGHV02-32	VH	
142332	142620	289	+	igh_xma_new	IGHV02-33	VH	
144334	144625	292	+	igh_xma_new	IGHV02-34	VH	
145740	146031	292	+	igh_xma_new	IGHV02-35	VH	
146903	147194	292	+	igh_xma_new	IGHV02-36	VH	
147839	148138	300	+	igh_xma_new	IGHV02-37	VH	
150504	150797	294	+	igh_xma_new	IGHV02-38p	VH	nonsense
152249	152537	289	+	igh_xma_new	IGHV02-39	VH	
154075	154374	300	+	igh_xma_new	IGHV14-01	VH	
155433	155709	277	+	igh_xma_new	IGHV02-40	VH	
156583	156870	288	+	igh_xma_new	IGHV02-41	VH	
158017	158027	11	+	igh_xma_new	IGHDM02	DH	old
158408	158454	47	+	igh_xma_new	IGHJM02	JH	old
163977	164269	293	+	igh_xma_new	IGHV02-42	VH	
165416	165708	293	+	igh_xma_new	IGHV03-32	VH	
166994	167293	300	+	igh_xma_new	IGHV02-43	VH	
169602	169900	299	+	igh_xma_new	IGHV12-02	VH	
171452	171752	301	+	igh_xma_new	IGHV02-44	VH	
173096	173384	289	+	igh_xma_new	IGHV02-45	VH	
174714	175009	296	+	igh_xma_new	IGHV02-46	VH	
176396	176697	302	+	igh_xma_new	IGHV02-47	VH	
178422	178719	298	+	igh_xma_new	IGHV12-03	VH	
181245	181543	299	+	igh_xma_new	IGHV12-04	VH	
182977	183236	260	+	igh_xma_new	IGHV02-48p	VH	truncated_5prime
184323	184611	289	+	igh_xma_new	IGHV02-49p	VH	nonsense
185946	186244	299	+	igh_xma_new	IGHV02-50	VH	
187624	187925	302	+	igh_xma_new	IGHV02-51	VH	
190987	191284	298	+	igh_xma_new	IGHV12-05	VH	
192570	192868	299	+	igh_xma_new	IGHV02-52	VH	
193608	193906	299	+	igh_xma_new	IGHV12-06	VH	
195271	195572	302	+	igh_xma_new	IGHV02-53	VH	
197791	197804	14	+	igh_xma_new	IGHDM04	DH	old
198186	198236	51	+	igh_xma_new	IGHJM03	JH	old
204396	204693	298	+	igh_xma_new	IGHV15-01	VH	
206203	206503	301	+	igh_xma_new	IGHV13-02	VH	
